seq,threads,length,pth_avg,mcs_avg,mte_avg,pth_p50,mcs_p50,mte_p50,pth_p99,mcs_p99,mte_p99,pth_p999,mcs_p999,mte_p999,pth_tail,mcs_tail,mte_tail,pth_thp,mcs_thp,mte_thp
1,8,8,3042.575,37240.800,3337.542,310,36762,290,21936,45098,3138,37112,175546,9108,8425122,1182926,86339568,3982975.500000,507738.000000,4957067.500000
2,8,16,3654.204,37935.157,3913.102,402,37568,412,24250,45744,624,39724,168496,3834,9935084,891708,380767336,3351034.500000,497866.500000,4279775.000000
3,8,24,4589.756,38831.851,4357.914,1430,38468,482,28166,47048,776,45450,164676,4474,6180370,858308,250044014,2729738.000000,485869.500000,3868403.500000
4,8,32,5565.390,40038.005,4964.268,2278,39558,556,33358,53062,890,59066,170572,5324,10039954,1652634,282741248,2296668.500000,470697.500000,3404983.500000
5,8,40,5716.555,40900.060,5521.472,2248,40700,648,35170,53614,1048,56926,165762,5686,18990042,1129764,140117440,2176425.500000,460101.000000,3072123.000000
6,8,48,6707.564,41935.416,6218.469,2590,41598,736,40110,56012,1428,64670,170098,7628,2019570,6606046,179696484,1953994.000000,449239.000000,2733842.500000
7,8,56,8111.222,43245.159,7309.555,2334,42802,886,51864,56938,1860,88084,183650,9388,9759850,1349214,158072606,1685583.500000,434495.000000,2331914.000000
8,8,64,9406.553,43748.732,7917.439,2400,43260,982,58294,57914,2062,93108,175482,9124,5098028,993162,126675960,1528295.000000,428089.500000,2162500.500000
9,16,8,8001.246,79685.241,7205.099,332,78976,292,79754,97152,2960,136858,206006,8274,10314548,1427742,153086000,3880184.000000,488296.500000,5071329.500000
10,16,16,8907.986,79830.535,8467.315,248,79382,396,89814,95204,786,153378,194460,4144,17118744,1238086,429331100,3474363.000000,487147.000000,4333453.500000
11,16,24,11894.403,82855.415,9568.478,2208,82166,478,93366,102008,762,154750,209200,5088,17426666,1737958,439916956,2621541.500000,469056.000000,3834639.000000
12,16,32,14440.973,86248.949,10835.868,3060,85708,550,111480,102984,964,182526,201130,5528,14812582,1501616,674355196,2160817.500000,450337.000000,3389085.500000
13,16,40,15650.406,87108.252,12187.628,3312,86678,644,113930,105472,1290,186032,212582,5856,10309472,1448730,397825158,1995924.500000,445672.000000,3026779.500000
14,16,48,17317.712,88548.912,13525.509,3316,88126,742,119320,105296,1438,190092,213920,8892,8579666,4745196,251011844,1811728.000000,438315.000000,2732850.000000
15,16,56,20216.307,90007.018,16206.008,2888,90004,886,136684,107732,2030,215954,229070,9232,7148548,1408552,269749680,1582630.500000,430708.000000,2283209.500000
16,16,64,22490.473,92683.186,16470.636,2776,92324,964,145064,111912,1802,230278,242502,9152,9122720,4735844,288268584,1468770.500000,418060.500000,2249949.500000
17,24,8,13087.891,121366.501,11282.578,336,120474,288,141802,137258,3442,231580,260932,13018,35584136,4866326,200062488,3821346.500000,485182.500000,5010137.500000
18,24,16,15693.669,123409.257,12539.593,470,122142,390,139824,140262,624,218826,295774,4226,29601336,2502092,954744266,3178598.500000,477103.500000,4521090.500000
19,24,24,19343.702,127904.776,14478.600,2242,126700,476,144890,149326,774,223502,282952,4584,19279894,3619154,733934968,2588013.500000,460311.000000,3922369.000000
20,24,32,23339.628,131941.874,16067.703,2904,130994,528,153804,149346,846,236006,271332,5122,8807952,2059598,641496212,2151300.000000,445828.000000,3525243.500000
21,24,40,25727.124,134316.356,18862.484,3154,133354,650,162108,159566,1348,247568,285272,6804,6871056,2426942,619119014,1959604.000000,437808.000000,3014458.500000
22,24,48,27376.552,136403.182,20611.843,3222,135734,722,167244,155094,1482,256872,265706,5006,10375302,1281294,545637788,1843740.500000,430956.500000,2761111.500000
23,24,56,32328.530,138332.022,24153.172,3234,137692,874,215446,157122,1858,337966,265238,10090,9414378,2402684,468888806,1584807.000000,424751.000000,2359103.000000
24,24,64,36146.163,141803.446,26794.210,2666,140996,982,233574,164948,2032,366966,311360,9898,9005856,2099408,434907496,1468500.500000,414152.000000,2127087.000000
25,32,8,18116.700,162741.229,14325.673,306,161480,308,228076,185398,3560,394390,375010,9348,58769174,3234506,246923826,3876067.500000,484605.000000,5308339.000000
26,32,16,21905.997,166121.704,17941.383,292,165012,400,211020,184016,736,337124,305596,4572,45833164,3249082,1021321506,3189311.500000,474616.500000,4269776.000000
27,32,24,26715.925,171088.340,19560.566,372,170004,476,233452,187196,730,376432,335086,4388,33460858,3381632,1108208210,2615179.500000,460703.500000,3922307.000000
28,32,32,32197.231,175227.358,22074.254,2752,174322,534,224212,204942,878,346748,354280,5260,46331606,2795882,769489476,2172636.500000,449667.000000,3470900.000000
29,32,40,35622.897,179432.564,24992.828,3054,178398,642,214580,210766,1076,325796,354530,4988,46470632,2999904,941116344,1972116.500000,439033.000000,3076577.500000
30,32,48,38576.933,181557.134,28500.880,3300,180992,738,223218,211906,1518,341524,352616,6810,37874068,1745782,854471898,1824472.000000,433796.000000,2698441.000000
31,32,56,44756.791,185984.853,31669.921,2786,185150,860,306890,213700,1536,482994,385934,6204,7147774,5526042,672048764,1598856.000000,423733.000000,2430187.500000
32,32,64,49475.803,187191.395,34899.420,2478,187570,964,321530,220106,1784,505222,359724,7540,4900234,1762644,519921434,1477840.500000,420408.500000,2205743.000000
