seq,threads,length,pth_avg,mcs_avg,mte_avg,pth_p50,mcs_p50,mte_p50,pth_p99,mcs_p99,mte_p99,pth_p999,mcs_p999,mte_p999,pth_tail,mcs_tail,mte_tail,pth_thp,mcs_thp,mte_thp
1,16,64,19199.243,87313.975,14868.528,3288,87076,1134,135066,100826,2624,210554,204312,14240,7239266,1681632,553971052,1467222.500000,426014.000000,2009118.500000
2,16,128,60912.560,99928.047,26425.656,53632,98768,356,244642,115982,646,376166,218690,12524,4180266,1749382,908681546,583497.000000,372700.500000,1245785.500000
3,16,192,92073.828,113222.509,39661.896,113566,112210,1994,366438,131012,2328,2264782,236586,18050,14743770,1774956,389743546,397767.500000,329257.500000,865061.000000
4,16,256,105358.837,123263.455,53190.973,126230,121950,436,751870,142256,7432,1959938,248602,18374,7759620,1811974,410207010,348649.000000,302293.000000,659358.500000
5,16,320,116028.127,134838.064,61880.878,138318,133740,746,150356,159262,1070,9604154,255340,17324,66835494,1747308,988665216,316997.000000,276761.000000,571579.000000
6,16,384,146325.379,142573.168,74197.571,150324,143198,1542,179680,174678,2206,348394,351218,18550,10173952,2367382,794790764,254670.500000,261498.000000,480092.500000
7,16,448,157288.567,157108.701,87551.759,158654,155348,2328,219574,213622,4088,385298,373198,41978,2301426,5652762,501091636,237209.500000,237685.000000,410607.000000
8,16,512,164138.885,164073.730,106915.903,164320,162812,3132,194362,234692,7976,331546,373012,34011168,1228950,5639036,514110028,227468.000000,227763.000000,337559.000000
9,16,576,171603.560,172928.542,120075.386,172334,171050,3898,216486,248308,8516,383806,362858,39914868,2230328,2275638,252443240,217609.500000,216003.000000,302314.500000
10,16,640,181594.270,182750.753,133660.614,183546,180694,4692,262888,253682,518414,414804,384100,33643052,3001720,4686562,273146928,205653.500000,204422.000000,272591.000000
11,16,704,187255.492,190234.039,141106.166,187954,187426,5362,227816,267724,1351560,406162,424284,28126850,5218250,5431400,121979256,199619.000000,196455.000000,259009.000000
12,16,768,190764.384,198517.551,144897.875,191766,195406,5876,265788,268832,1370048,421382,373944,27795704,11538538,13837324,122751768,195817.000000,188290.000000,252610.500000
13,16,832,194191.399,197292.237,148716.111,195604,195374,6268,228416,241038,1712816,407082,342084,26993840,5516868,1710636,98386120,192380.000000,189400.000000,246367.500000
14,16,896,201032.974,204239.164,151038.465,202468,201630,6640,281840,277154,2424858,447808,387666,24852132,1930274,1384362,90469350,185847.000000,182973.000000,242935.500000
15,16,960,205333.107,214451.486,154514.729,207092,212314,7048,250422,294002,3108382,435298,420120,23447030,2049382,1693526,105323782,181954.500000,174306.500000,237804.500000
16,16,1024,215861.515,225570.025,185443.730,218836,220004,7794,326960,328468,1432980,678636,777932,20004914,10926404,4791660,79839222,173108.500000,165801.000000,199420.000000
